video_id,video_title,video_description,published_at,category_id,channel_id,channel_title
8pztmXSiHvw,TODOS OS DEUSES E SEMIDEUSES QUE EXISTEM EM MOANA 2!!,Descubra todos os deuses e semideuses incríveis que podem aparecer em Moana 2! Nesta análise completa e cheia de ...,2024-12-19T14:00:09Z,1,UCAQvQErhBgCcLDv-fsWJUfg,Meu Desenho Favorito
Quc0SjurjdI,SUPERMAN CHEGA À RÚ55IA S0VIÉTIC4 E SE TORNA D1T4D0R!!,F1LM3: 5UP3RM4N 3NTR3 4 F01C3 3 0 M4RT3L0 Narração e edição: CHICO Contato: solucionandofilmes@gmail.com.,2024-12-19T21:00:29Z,1,UCnpdtRJqaVtwUcIMJg5r3Ig,SOLUCIONANDO ANIMAÇÕES
f_0SJNAKfaU,ORFÃ FINGE SER PRINCESA PARA SALVAR O VERDADEIRO PRINCIPE DE MALDIÇÃO!,F1LM3: PR1NC3S4 P0R 4C1D3NT3 Narração: CH1C0 edição: K3LV1N Contato: solucionandofilmes@gmail.com.,2024-12-18T22:00:24Z,1,UCnpdtRJqaVtwUcIMJg5r3Ig,SOLUCIONANDO ANIMAÇÕES
orudSURW38Y,"SUPERCÃO DESCOBRE QUE ERA, NA VERDADE, APENAS UM ATOR!!",F1LM3: B0LT 0 SUP3RC40 Narração: CH1C0 edição: GI Contato: solucionandofilmes@gmail.com.,2024-12-17T22:00:28Z,1,UCnpdtRJqaVtwUcIMJg5r3Ig,SOLUCIONANDO ANIMAÇÕES
rzFUb3tUiBI,Patos sendo puro entretenimento por 8 minutos e 05 segundos,Patos sendo puro caos ( mais conteúdos como esse você encontra aqui no canal ) Seja membro deste canal e ganhe ...,2024-12-19T21:30:07Z,1,UCeJRivUs5Lu5m-0eMYvwU8A,Irmãos Edits 
AeceFVdUhDs,The Ultimate “Sonic The Hedgehog Movie 1 &amp; 2” Recap Cartoon,The ultimate recap cartoon of the Sonic The Hedehog Movies! 1 and 2! Get all caught up before you see SEGA's Sonic Movie 3 ...,2024-12-20T15:28:12Z,1,UCr1fdFXztwacnJ206hMgG7w,Cas van de Pol
KCi8x8_gSRs,"Robô Selvagem, só os adultos perceberam isso? 🤔","Parece só mais um filme infantil com bichinhos e robôs fofos, né? Mas Robô Selvagem surpreende com camadas profundas e ...",2024-12-19T21:00:11Z,1,UCZalFvYi-RAFuSBLnXVLLQA,Massacote
VbVlvcjaIRE,Batalha de Kaiju na Golden Gate | Monstros vs. Alienígenas | Clipe 🔥 4K,Este robô quer comer uma ponte inteira! Novos filmes de animação 2023 ...,2024-12-16T16:00:33Z,1,UCZ1JzRyv0nXoTjNCWAS4evw,Boxoffice Animação ☆ Melhores Filme em português
orrQ5WQUZRY,A Jornada da Amizade de Relâmpago McQueen e Cruz Ramirez | Pixar Carros,McQueen e Ramirez tiveram uma jornada incrível juntos. Cruz passou por uma transformação significativa após treinar ...,2024-12-19T15:00:54Z,1,UCunkR_ekffRWZppVa1E6tIA,Disney Jr. Brasil
76elRPEVIRA,COISAS QUE NÃO FAZEM SENTIDO EM MOANA 2!!,"Moana está de volta em Moana 2, mas será que a continuação da história da corajosa navegadora faz sentido? Neste vídeo ...",2024-12-18T14:00:07Z,1,UCAQvQErhBgCcLDv-fsWJUfg,Meu Desenho Favorito
l29SlRx3AM4,O mundo de filmes PERDIDOS PIXAR,Promoção de NATAL do ERA UMA VEZ UM MISTÉRIO NO TEMPO: https://amzn.to/3u9RENX → Link para ler meu livro de ...,2024-12-16T23:24:41Z,1,UCJ_beVv6STCc-ahDiG2x8ig,Matheus Jucinsky
K_CRGH3K8lM,Mongo e Drongo e o Mistério de Aniversário - 11 anos de novo 🥳✨,Feliz Aniversário Mongo e Drongo! Uma Surpresa Inesquecível - Lembrando que o Aniversário é 21/12 ✨ É o aniversário de ...,2024-12-20T21:30:02Z,1,UCZdGGezVPemvBNiUdM6GUIg,Abluba Desenhos Animados
WHE5v-S-Qws,Basically Sonic Movie 3 | Sonic the Hedgehog Animation |,"The most accurate animation you can find of this movie. Please Like and Subscribe if you enjoy my content, and would like to see ...",2024-12-20T17:00:06Z,1,UCifZopajzDZkM-K0kVke2-w,ShockedCreeper
ssP89ep_Mwg,Além de MUFASA: 5 Franquias da Cultura Pop que ficariam PERFEITAS com esta animação Hiper realista,"Disney surpreendeu o Mundo do cinema e da Cultura Pop com o remake do clássico dos filmes de animação O Rei Leão, desta ...",2024-12-20T14:00:06Z,1,UCa8KbqqmoDnJJd8Qs7jFV5w,Perzeu Imortal Filmes e Séries
SMfelDAZw5A,RILEY ENFRENTA PESADELOS INFINITOS POR CAUSA DE SUA FÁBRICA DE SONHOS!!!!,S3R1E: PR0DUÇ40 D3 S0NH0S Narração: CH1C0 edição: GI Contato: solucionandofilmes@gmail.com.,2024-12-16T22:00:17Z,1,UCnpdtRJqaVtwUcIMJg5r3Ig,SOLUCIONANDO ANIMAÇÕES
IMXfSQoiY2Y,melhor filme de animação em 2024? análise do filme moana 2 com todos os spoilers!,moana 2 com todos os spoilers! se insceva no canal e deixa o seu like!! instagram do canal: @topfive1000 meu instagram: ...,2024-12-19T02:55:24Z,1,UCLcshTlhiFKsosE8vPD2H3A,TOP FIVE
OnWo2y2PaYw,Momentos Mais Engraçados do Marty! | DreamWorks Madagascar em Português,Aproveite esta compilação da zebra favorita de todos - o adorável Marty! Marty sempre vê o lado bom da vida e sempre exalta ...,2024-12-15T17:00:23Z,1,UC0Hm-5-4bj5CNPRt9nIm0zg,DreamWorks Madagascar em Português
IaJzONeMXFI,&quot;Enfeitiçados&quot; e  um pouco legais | OPINIÃO,"Neste vídeo, minha opinião super sincera sobre ""Enfeitiçados"", filme animado da Skydance lançado na Netflix, que traz uma ...",2024-12-20T18:47:03Z,1,UCSwKqen8ONdQE_0xcug9XvA,Petecá & Pipoca
aPJTtQ-oN3A,A CGI 3D Short Film: &quot;THE RAY&quot; - by The RAY Team  + ArtFX | TheCGBros,"TheCGBros Presents ""THE RAY"" - Jake, an alpinist, begins descending from the summit of the world's highest mountain, before ...",2024-12-20T23:00:00Z,1,UC-1rx8j9Ggp8mp4uD0ZdEIA,TheCGBros
Uiz2WaDYk3M,SONIC THE HEDGEHOG 3 All Movie Clips (2024),SONIC THE HEDGEHOG 3 All Movie Clips (2024) #SonicMovie3 - only in theatres December 20. Sonic the Hedgehog returns to ...,2024-12-20T11:15:02Z,1,UC2sxxXRBL5SgY0fI58BrOCA,JoBlo Animated Videos
N2_BmzzPGIw,"MUFASA The Lion King - 9 Minutes Clips, Songs &amp; Trailers","Mufasa: The Lion King official movie clips, songs, trailers & behind-the-scenes featurettes. Subscribe for amazing movie ...",2024-12-17T15:32:06Z,1,UCnIup-Jnwr6emLxO8McEhSw,Flicks And The City Clips
iEM1CEsvxEM,Out to Ruin Christmas | Dr. Seuss&#39; The Grinch,The Grinch (Benedict Cumberbatch) heads into Whoville to steal all the presents and ruin Christmas. #TheGrinch ...,2024-12-17T14:00:45Z,1,UCUIfsdGUBoJVS5fCZlAqGHQ,Family Movie Picks
RQzaUGcP_fE,The Grinch has Christmas Dinner | Dr. Seuss&#39; The Grinch,The Grinch (Benedict Cumberbatch) has Christmas dinner with the Who's and realizes he has just been lonely and he doesn't ...,2024-12-17T17:00:33Z,1,UCUIfsdGUBoJVS5fCZlAqGHQ,Family Movie Picks
Rt_VM577yZs,QUAL FOI O DESTINO DO PRÍNCIPE HANS APÓS O PRIMEIRO FILME?? 👀 | Frozen,,2024-12-17T15:00:06Z,1,UCvLyLtR5pvqYrrLLKr3ei8w,Joacyr na Área
PmTl5Uc25Xc,O Que a Bíblia Diz Sobre o Fim dos Tempos? Descubra Antes Que Seja Tarde!,"Prepare-se para uma jornada fascinante em nosso filme animado ""O Que a Bíblia Diz Sobre o Fim dos Tempos? Descubra Antes ...",2024-12-16T21:24:11Z,1,UC_hqhXZehfqtPpJbCqqCesQ,FONTE VERBAL 
E3V43zprtfI,"O SAMMY FOI O MAIOR RIVAL DO DOC HUDSON!! | disney, pixar","Há muitas histórias de alguns personagens de carros antes do primeiro filme. E, junto disso, o Doc hudson também teve uma ...",2024-12-19T20:00:06Z,1,UCi2lwFma_Ea5wdbSp3OTHGw,EUHISTÓRIA
A-qBZK9IpdU,Digital Circus Episódio 5 TUDO o que VAZOU - Circo Digital,Digital Circus Episódio 5 TUDO o que VAZOU - Circo Digital Espero que gostem! Episodio 1 ...,2024-12-15T13:01:27Z,1,UCVmxV-_ds-UJeVC7w7AYQTQ,Rk Play
dtwsdhbxepE,The Grinch Steals a Sleigh | Dr. Seuss&#39; The Grinch,The Grinch (Benedict Cumberbatch) sets out to steal the sleigh that's atop his neighbor's house. #TheGrinch ...,2024-12-16T17:00:40Z,1,UCUIfsdGUBoJVS5fCZlAqGHQ,Family Movie Picks
TTPUhcIIEeY,Uma Missão De Natal! - Episódio 1 - Especial de Natal | 3 Palavrinhas,"Neste Natal, acompanhe a Sara, o Davi e o Miguel em uma aventura totalmente nova e super importante! Para compartilhar com ...",2024-12-20T12:00:06Z,1,UCb08zJgXapidkizIaEN5EfQ,3Palavrinhas
OOWTvLmUoDc,Ursinhos Carinhosos - O Filme (1985) - TVRip Globo (Sessão da Tarde) em 19/10/90,"SINOPSE: Os Ursinhos Carinhosos vivem nas nuvens, onde observam as crianças da Terra e usam seus dons para espalhar ...",2024-12-17T23:22:27Z,1,UCvBMlo85AOv45lzdWifQSGw,Nostálgicos Anônimos
YWUHEispLUA,ANIME DE O SENHOR DOS ANÉIS: A GUERRA DOS ROHIRRIM - Crítica Sincerona,AGuerraDosRohirrim #LordoftheRings #OSenhorDosAneis #WaroftheRohirrim The Lord Of The Rings: The War Of the Rohirrim ...,2024-12-20T16:07:47Z,1,UCggu7ZqCPm962udvkv-pMRQ,Haru
3NEI1kkd_x8,Emoji: O Filme – Tudo Sobre a Animação Mais Polêmica e Divertida do Cinema!,Minha ideia Emoji: O Filme – Tudo Sobre a Animação Mais Polêmica e Divertida do Cinema! Facebook https//izack chaves ...,2024-12-18T02:14:31Z,1,UCaa7jV5umot3mfXiNd-lIIQ,THE IZACK
2c1bAMPqqGA,Cave Men VS Evolved People 😂😂 | The Croods: A New Age | CLIP,Cave Men VS Evolved People Buy or rent the full movie NOW ➤ https://www.amazon.com/gp/video/detail/B08QDMV3F7 ...,2024-12-20T18:00:02Z,1,UCzNWVDZQ55bjq8uILZ7_wyQ, Boxoffice ANIMATION ☆ Movie Scenes 
d3nY3sAYb4E,O Filme de Sonic 4 FOI CONFIRMADO! Veja o que Esperar!,Sonic 4 o FILME foi OFICIALMENTE CONFIRMADO Espero que gostem! Arte de @artedocarneiro Edição @gabrielbarge --- Seja ...,2024-12-19T21:25:06Z,1,UCVmxV-_ds-UJeVC7w7AYQTQ,Rk Play
5DRJlac-XNs,"Carros, trens, aviões e barcos | Aprenda sobre diferentes meios de transporte com Bubbles e Amigos",Vamos sair de férias e aprender tudo sobre meios de transporte! Como chegaremos ao nosso destino? Vamos explorar ...,2024-12-20T14:00:06Z,1,UCaGZs444w8Rgwbbjd4lkB2g,Bubbles e Seus Amigos
mvNsm9SuoKU,The Grinch Steals Christmas | Dr. Seuss&#39; the Grinch (2018) | Family Flicks,"Dressed as Santa, the Grinch (Benedict Cumberbatch) sneaks into Whoville at night and steals Christmas from the unsuspecting ...",2024-12-18T17:30:13Z,1,UCPD_ssNliyxReKVRkViacag,Family Flicks
